PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
11544480;"Aparcamiento mixto. Alc�ntara";"";"";"";"";"Plazas: 121 p�blicas y 254 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=79df252aa267d710VgnVCM1000001d4a900aRCRD";"ALCANTARA";"CALLE";"V";"26";"";"";"";"";"MADRID";"MADRID";"28006";"2";"GOYA";"4";"SALAMANCA";"442847";"4475502";"40.428193768950756";"-3.673778093084516";"";"";"";"/contenido/entidadesYorganismos/AparcamientosResidentes"; 
13470;"Aparcamiento mixto. Arquitecto Ribera";"";"";"";"";"Plazas: 318 p�blicas y 298 para residentes Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a50e15cbed51c010VgnVCM2000000c205a0aRCRD";"BARCELO";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28004";"4";"JUSTICIA";"1";"CENTRO";"440589";"4475306";"40.426273740022";"-3.70037418702346";"";"";"";"/contenido/entidadesYorganismos/AparcamientosResidentes"; 
59060;"Aparcamiento mixto. Avenida de Am�rica (intercambiador)";"";"";"";"";"Informaci�n sobre accesibilidad:  Tiene escaleras adaptadas Ascensor de salida a la calle Avenida de Am�rica, 9 Tiene aseos accesibles Plazas para minusv�lidos    Plazas: 261 p�blicas y 395 para residentes  Abierto 24 horas   Titularidad: Ayuntamiento de Madrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3f3bc2c6e051c010VgnVCM2000000c205a0aRCRD";"AMERICA";"AVENIDA";"V";"9";"";"";"";"";"MADRID";"MADRID";"28002";"2";"PROSPERIDAD";"5";"CHAMARTIN";"442596";"4476612";"40.4381779662151";"-3.67683406459837";"917 376 257";"";"intercambiador@intercambiador.net";"/contenido/entidadesYorganismos/AparcamientosResidentes"; 
5898885;"Aparcamiento mixto. Avenida de Portugal";"";"Horario de apertura de 6:00 h a 22:00 h los d�as laborables.";"";"";"Plazas: 428 p�blicas y 445 para residentes  Informacion sobre accesibilidad:  No tiene escalera adaptada Tiene ascensor de salida a Avenida de Portugal, s/n 1 aseo accesible (nivel-3) Plazas para minusv�lidos residentes: 20   Abierto 24 horas  Titularidad: Ayuntamiento de Madrid  Gesti�n: Empresa Municipal de Transportes (EMT) (m�s informaci�n)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c313e26f2b3fc210VgnVCM2000000c205a0aRCRD";"PORTUGAL";"AVENIDA";"V";"155";"";"";"";"";"MADRID";"MADRID";"28011";"2";"PUERTA DEL ANGEL";"10";"LATINA";"437376";"4473663";"40.4112391063366";"-3.73808787568741";"917 877 292 (gr�a municipal)";"";"aparcamientos@emtmadrid.es";"/contenido/entidadesYorganismos/AparcamientosResidentes"; 
13475;"Aparcamiento mixto. Brasil";"";"";"";"";"Plazas: 226 p�blicas y 402 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb2e15cbed51c010VgnVCM2000000c205a0aRCRD";"SAN GERMAN";"CALLE";"V";"7";"";"";"";"";"MADRID";"MADRID";"28020";"2";"CUATRO CAMINOS";"6";"TETUAN";"441198";"4478611";"40.4560925110791";"-3.69349688854822";"";"";"";"/contenido/entidadesYorganismos/AparcamientosResidentes"; 
183747;"Aparcamiento mixto. Casino de la Reina";"";"";"";"";"Plazas: 135 p�blicas y 449 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c5f4bdc85c01c010VgnVCM2000000c205a0aRCRD";"CASINO";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28005";"2";"EMBAJADORES";"1";"CENTRO";"440274";"4473180";"40.40709468568204";"-3.7038875277131464";"";"";"";"/contenido/entidadesYorganismos/AparcamientosResidentes"; 
13477;"Aparcamiento mixto. Condesa de Gavia";"";"";"";"";"Plazas: 146 p�blicas y 79 para residentes  El horario de apertura para la parte del aparcamiento rotacional es de lunes a viernes de 9:00h a 20:40h. S�bados de 9:00 a 14:30h.  Titularidad: Ayuntamiento de Madrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e5f15cbed51c010VgnVCM2000000c205a0aRCRD";"CONDESA DE GAVIA";"PLAZA";"V";"2";"";"";"";"";"MADRID";"MADRID";"28020";"2";"CUATRO CAMINOS";"6";"TETUAN";"440464";"4477836";"40.44905426535144";"-3.7020861495783635";"";"";"";"/contenido/entidadesYorganismos/AparcamientosResidentes"; 
81736;"Aparcamiento mixto. Corona Boreal";"";"";"";"";"Plazas: 125 p�blicas y 125 para residentes  Informaci�n sobre accesibilidad:  No tiene escaleras adaptadas Ascensor de salida a la calle P�rez de Victoria 2 aseos accesibles (1&amp;ordf; planta) Plazas para minusv�lidos residentes: 3    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=db8bc2c6e051c010VgnVCM2000000c205a0aRCRD";"PEREZ DE VICTORIA";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28023";"7";"ARAVACA";"9";"MONCLOA-ARAVACA";"433515";"4478978";"40.4588137783281";"-3.78414489510692";"913 573 714";"";"parkingcoronaboreal@hotmail.com";"/contenido/entidadesYorganismos/AparcamientosResidentes"; 
183748;"Aparcamiento mixto. Dao�z y Velarde";"";"";"";"";"Plazas: 235 p�blicas y 253 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0f85bdc85c01c010VgnVCM2000000c205a0aRCRD";"CIUDAD DE BARCELONA";"AVENIDA";"V";"156";"";"";"";"";"MADRID";"MADRID";"28007";"1";"PACIFICO";"3";"RETIRO";"442498";"4472658";"40.40255344121901";"-3.67763144165245";"S/T";"";"";"/contenido/entidadesYorganismos/AparcamientosResidentes"; 
44724;"Aparcamiento mixto. D�az Porlier";"";"";"";"";"Plazas: 203 p�blicas y 421 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9e69946be351c010VgnVCM2000000c205a0aRCRD";"DIEGO DE LEON";"CALLE";"V";"64";"";"";"";"";"MADRID";"MADRID";"28006";"5";"LISTA";"4";"SALAMANCA";"442707";"4476204";"40.434510199279615";"-3.6754840133107027";"91 401 73 74";"";"";"/contenido/entidadesYorganismos/AparcamientosResidentes"; 
