PK,NOMBRE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,DIRECCION,wikidata_calle,NUM,PLANTA,ORIENTACION,LOCALIDAD,wikidata_localidad,COMUNIDAD AUTONOMA,wikidata_provincia,CODIGO-POSTAL,COD-BARRIO,BARRIO,wikidata_barrio,COD-DISTRITO,DISTRITO,wikidata_distrito,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL
11544480,Aparcamiento mixto. Alcántara,Plazas: 121 públicas y 254 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=79df252aa267d710VgnVCM1000001d4a900aRCRD,"Calle de Alcántara, Madrid",https://wikidata.org/entity/Q28070781,26,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28006,2,Goya,https://wikidata.org/entity/Q3814578,4,Salamanca,https://wikidata.org/entity/Q1773521,442847,4475502,40.428193768950756,-3.673778093084516,,
13470,Aparcamiento mixto. Arquitecto Ribera,Plazas: 318 públicas y 298 para residentes Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a50e15cbed51c010VgnVCM2000000c205a0aRCRD,calle de Barceló,https://wikidata.org/entity/Q27051120,2,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28004,4,Justicia,https://wikidata.org/entity/Q1992319,1,Centro,https://wikidata.org/entity/Q1763376,440589,4475306,40.426273740022,-3.70037418702346,,
59060,Aparcamiento mixto. Avenida de América (intercambiador),"Información sobre accesibilidad:  Tiene escaleras adaptadas Ascensor de salida a la calle Avenida de América, 9 Tiene aseos accesibles Plazas para minusválidos    Plazas: 261 públicas y 395 para residentes  Abierto 24 horas   Titularidad: Ayuntamiento de Madrid",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3f3bc2c6e051c010VgnVCM2000000c205a0aRCRD,"Avenida de América, Madrid",https://wikidata.org/entity/Q5686040,9,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28002,2,Prosperidad,https://wikidata.org/entity/Q4776,5,Chamartín,https://wikidata.org/entity/Q1766348,442596,4476612,40.4381779662151,-3.67683406459837,917 376 257,intercambiador@intercambiador.net
5898885,Aparcamiento mixto. Avenida de Portugal,"Plazas: 428 públicas y 445 para residentes  Informacion sobre accesibilidad:  No tiene escalera adaptada Tiene ascensor de salida a Avenida de Portugal, s/n 1 aseo accesible (nivel-3) Plazas para minusválidos residentes: 20   Abierto 24 horas  Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información)",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c313e26f2b3fc210VgnVCM2000000c205a0aRCRD,Avenida de Portugal,https://wikidata.org/entity/Q26736141,155,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28011,2,Barrio de Puerta del Ángel,https://wikidata.org/entity/Q31142,10,Latina,https://wikidata.org/entity/Q794954,437376,4473663,40.4112391063366,-3.73808787568741,917 877 292 (grúa municipal),aparcamientos@emtmadrid.es
13475,Aparcamiento mixto. Brasil,Plazas: 226 públicas y 402 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb2e15cbed51c010VgnVCM2000000c205a0aRCRD,"Calle de San Germán, Madrid",https://wikidata.org/entity/Q26750807,7,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28020,2,Cuatro Caminos,https://wikidata.org/entity/Q5824684,6,Tetuán,https://wikidata.org/entity/Q1773540,441198,4478611,40.4560925110791,-3.69349688854822,,
183747,Aparcamiento mixto. Casino de la Reina,Plazas: 135 públicas y 449 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c5f4bdc85c01c010VgnVCM2000000c205a0aRCRD,"Calle del Casino, Madrid",https://wikidata.org/entity/Q26248358,3,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28005,2,Embajadores,https://wikidata.org/entity/Q2449844,1,Centro,https://wikidata.org/entity/Q1763376,440274,4473180,40.40709468568204,-3.7038875277131464,,
13477,Aparcamiento mixto. Condesa de Gavia,Plazas: 146 públicas y 79 para residentes  El horario de apertura para la parte del aparcamiento rotacional es de lunes a viernes de 9:00h a 20:40h. Sábados de 9:00 a 14:30h.  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e5f15cbed51c010VgnVCM2000000c205a0aRCRD,PLAZA CONDESA DE GAVIA,,2,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28020,2,Cuatro Caminos,https://wikidata.org/entity/Q5824684,6,Tetuán,https://wikidata.org/entity/Q1773540,440464,4477836,40.44905426535144,-3.7020861495783635,,
81736,Aparcamiento mixto. Corona Boreal,Plazas: 125 públicas y 125 para residentes  Información sobre accesibilidad:  No tiene escaleras adaptadas Ascensor de salida a la calle Pérez de Victoria 2 aseos accesibles (1&amp;ordf; planta) Plazas para minusválidos residentes: 3    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=db8bc2c6e051c010VgnVCM2000000c205a0aRCRD,CALLE PEREZ DE VICTORIA,,2,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28023,7,Aravaca,https://wikidata.org/entity/Q3314682,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,433515,4478978,40.4588137783281,-3.78414489510692,913 573 714,parkingcoronaboreal@hotmail.com
183748,Aparcamiento mixto. Daoíz y Velarde,Plazas: 235 públicas y 253 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0f85bdc85c01c010VgnVCM2000000c205a0aRCRD,Avenida de la Ciudad de Barcelona,https://wikidata.org/entity/Q5714227,156,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28007,1,Pacífico,https://wikidata.org/entity/Q3773753,3,Retiro,https://wikidata.org/entity/Q2002296,442498,4472658,40.40255344121901,-3.67763144165245,S/T,
44724,Aparcamiento mixto. Díaz Porlier,Plazas: 203 públicas y 421 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9e69946be351c010VgnVCM2000000c205a0aRCRD,"Calle de Diego de León, Madrid",https://wikidata.org/entity/Q28059485,64,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28006,5,Lista,https://wikidata.org/entity/Q4779,4,Salamanca,https://wikidata.org/entity/Q1773521,442707,4476204,40.434510199279615,-3.6754840133107027,91 401 73 74,
