ID_MEDIDA;ANO;MES;ID;TIPOEDIFICIO;EDIFICIO;DIRECCION;DISTRITO;CODIGO_DISTRITO;BARRIO;CODIGO_BARRIO;COORDENADA_X;COORDENADA_Y;LONGITUD;LATITUD;SENSOR;TIPO;CLASE;GRUPO;UNIDADES;CONSUMO
14;2020;3;509;Centros culturales y bibliotecas;Biblioteca La Elipa - Islas Filipinas;CALLE NUESTRA SEÑORA DEL VILLAR, 6 28017 MADRID;CIUDAD LINEAL;15;VENTAS;151;444705.59;4474960.04;-3.6512062299873125;40.4234957928842;AMBIBIFILIPINAS_Electricidad_General - AMBIBIFILIPINAS_Electricidad_CentroMayores - AMBIBIFILIPINAS_Electricidad_SocioCultural;Procesado;Energía activa;Ninguno;kWh;995
15;2020;3;509;Centros culturales y bibliotecas;Biblioteca La Elipa - Islas Filipinas;CALLE NUESTRA SEÑORA DEL VILLAR, 6 28017 MADRID;CIUDAD LINEAL;15;VENTAS;151;444705.59;4474960.04;-3.6512062299873125;40.4234957928842;AMBIBIFILIPINAS_Gas_General;Procesado;Gas;Gas;m3;1376.21055
16;2020;3;509;Centros culturales y bibliotecas;Biblioteca La Elipa - Islas Filipinas;CALLE NUESTRA SEÑORA DEL VILLAR, 6 28017 MADRID;CIUDAD LINEAL;15;VENTAS;151;444705.59;4474960.04;-3.6512062299873125;40.4234957928842;AMBIBIFILIPINAS_Gas_General;Externo;Gas;Gas;m3;3208.74
17;2020;3;941;Centros culturales y bibliotecas;Biblioteca Mario Vargas Llosa;CALLE BARCELO, 4 28004 MADRID;CENTRO;1;JUSTICIA;14;440674.55;4475361.07;-3.6990826662067344;40.42683538680111;AMBIBMVLLOSA_Electricidad_General;Externo;Energía activa;Activa Interruptor Gral;kWh;3536
18;2020;3;941;Centros culturales y bibliotecas;Biblioteca Mario Vargas Llosa;CALLE BARCELO, 4 28004 MADRID;CENTRO;1;JUSTICIA;14;440674.55;4475361.07;-3.6990826662067344;40.42683538680111;AMBIBMVLLOSA_Electricidad_General;Externo;Energía Reactiva;Reactiva tarifa 3.0A;kvarh;1190
19;2020;3;850;Centros culturales y bibliotecas;Biblioteca Miguel Delibes;CALLE ARROYO BELINCOSO, 11 (JUNTO A CENTRO CULTURAL EDUARDO CHILLIDA) 28030 MADRID;MORATALAZ;14;MEDIA LEGUA;144;444589.53;4473440.92;-3.6530587077141;40.4097421858525;AMBIBMDELIBES_Electricidad_General;Externo;Energía activa;Activa Interruptor Gral;kWh;5930
20;2020;3;850;Centros culturales y bibliotecas;Biblioteca Miguel Delibes;CALLE ARROYO BELINCOSO, 11 (JUNTO A CENTRO CULTURAL EDUARDO CHILLIDA) 28030 MADRID;MORATALAZ;14;MEDIA LEGUA;144;444589.53;4473440.92;-3.6530587077141;40.4097421858525;AMBIBMDELIBES_Electricidad_General;Externo;Energía Reactiva;Reactiva tarifa 3.1A;kvarh;1259
21;2020;3;850;Centros culturales y bibliotecas;Biblioteca Miguel Delibes;CALLE ARROYO BELINCOSO, 11 (JUNTO A CENTRO CULTURAL EDUARDO CHILLIDA) 28030 MADRID;MORATALAZ;14;MEDIA LEGUA;144;444589.53;4473440.92;-3.6530587077141;40.4097421858525;AMBIBMDELIBES_Gas_General;Externo;Gas;Gas;m3;1481.7
22;2020;3;702;Centros culturales y bibliotecas;Biblioteca Pablo Neruda;CALLE ASCAO, 4 28017 MADRID;CIUDAD LINEAL;15;PUEBLO NUEVO;152;445565.18;4475620;-3.641334923876934;40.42963395178173;AMBIBPABLONERUDA_Electricidad_General-AMBIBPABLONERUDA_Centro_Dia;Procesado;Energía activa;Ninguno;kWh;4523
23;2020;3;702;Centros culturales y bibliotecas;Biblioteca Pablo Neruda;CALLE ASCAO, 4 28017 MADRID;CIUDAD LINEAL;15;PUEBLO NUEVO;152;445565.18;4475620;-3.641334923876934;40.42963395178173;AMBIBPABLONERUDA_Gas_General;Procesado;Gas;Gas;m3;856.296
24;2020;3;20;Centros culturales y bibliotecas;Biblioteca Pío Baroja;CALLE ARGANDA, 12 28005 MADRID;ARGANZUELA;2;ACACIAS;22;439946.87;4472423.86;-3.7076765298843;40.4002580548243;AMBIBPIOBAROJA_General;Externo;Energía activa;Activa Interruptor Gral;kWh;4021
25;2020;3;20;Centros culturales y bibliotecas;Biblioteca Pío Baroja;CALLE ARGANDA, 12 28005 MADRID;ARGANZUELA;2;ACACIAS;22;439946.87;4472423.86;-3.7076765298843;40.4002580548243;AMBIBPIOBAROJA_General;Externo;Energía Reactiva;Reactiva tarifa 3.0A;kvarh;933
26;2020;3;20;Centros culturales y bibliotecas;Biblioteca Pío Baroja;CALLE ARGANDA, 12 28005 MADRID;ARGANZUELA;2;ACACIAS;22;439946.87;4472423.86;-3.7076765298843;40.4002580548243;AMBIBPIOBAROJA_Gas_General;Externo;Gas;Gas;m3;807.6
27;2020;3;906;Centros culturales y bibliotecas;CC Conde Duque;CALLE CONDE DUQUE, 11 28015 MADRID;CENTRO;1;UNIVERSIDAD;15;439716.08;4475426.59;-3.710680603981;40.4272912991656;acciona_condeduque;telemedida;Energía activa;Activa Contador Gral - Bus;kWh;0
28;2020;3;906;Centros culturales y bibliotecas;CC Conde Duque;CALLE CONDE DUQUE, 11 28015 MADRID;CENTRO;1;UNIVERSIDAD;15;439716.08;4475426.59;-3.710680603981;40.4272912991656;acciona_condeduque;telemedida;Energía Reactiva;Reactiva tarifa 6.1A;kvarh;0
29;2020;3;288;Centros culturales y bibliotecas;CC La Vaguada;AVENIDA  MONFORTE DE LEMOS, 38 28029 MADRID;FUENCARRAL - EL PARDO;8;PILAR;84;439890.74;4481167.14;-3.7091651558876;40.4790171574762;AMLAVAGUADACCULTURAL_General_CC;Externo;Energía activa;Ninguno;kWh;17423
30;2020;3;288;Centros culturales y bibliotecas;CC La Vaguada;AVENIDA  MONFORTE DE LEMOS, 38 28029 MADRID;FUENCARRAL - EL PARDO;8;PILAR;84;439890.74;4481167.14;-3.7091651558876;40.4790171574762;AMLAVAGUADACCULTURAL_Gas_CC;Externo;Gas;Gas;m3;0
31;2020;3;1763;Centros culturales y bibliotecas;CC Valdebernardo y Biblioteca Francisco Ayala;BULEVAR INDALECIO PRIETO, 21 28032 MADRID;VICALVARO;19;VALDEBERNARDO;192;447292.76;4472313.76;-3.6210706830025;40.3998728193385;(AMBIBFAYALA_Enfriadora + AMBIBFAYALA_General_Clima) + AMBIBFAYALA_General_Biblioteca;Procesado;Energía activa;Ninguno;kWh;5799.7581
32;2020;3;1763;Centros culturales y bibliotecas;CC Valdebernardo y Biblioteca Francisco Ayala;BULEVAR INDALECIO PRIETO, 21 28032 MADRID;VICALVARO;19;VALDEBERNARDO;192;447292.76;4472313.76;-3.6210706830025;40.3998728193385;AMBIBFAYALA_Gas_General;Procesado;Gas;Gas;m3;933.9126
33;2020;3;853;Centros culturales y bibliotecas;CC/BPM Gloria Fuertes;AVENIDA LOGROÑO, 179 28042 MADRID;BARAJAS;21;CORRALEJOS;215;449662.16;4479050.27;-3.5930771416345286;40.461008617871926;AMBIBGLORIAFUERTES_Electricidad_General;Procesado;Energía activa;Ninguno;kWh;3010.436
34;2020;3;853;Centros culturales y bibliotecas;CC/BPM Gloria Fuertes;AVENIDA LOGROÑO, 179 28042 MADRID;BARAJAS;21;CORRALEJOS;215;449662.16;4479050.27;-3.5930771416345286;40.461008617871926;AMBIBGLORIAFUERTES_Gas_General;Procesado;Gas;Gas;m3;624.54
35;2020;3;1119;Centros mixtos;CDI Arganzuela;CALLE CANARIAS, 17 28045 MADRID;ARGANZUELA;2;PALOS DE LA FRONTERA;26;440987.11;4472682.14;-3.6954429745674;40.4026590845045;AMCDIARGANZUELA_Contador_Electricidad;Externo;Energía activa;Activa Contador Gral - Bus;kWh;41459
36;2020;3;1119;Centros mixtos;CDI Arganzuela;CALLE CANARIAS, 17 28045 MADRID;ARGANZUELA;2;PALOS DE LA FRONTERA;26;440987.11;4472682.14;-3.6954429745674;40.4026590845045;AMCDIARGANZUELA_Contador_Electricidad;Externo;Energía Reactiva;Reactiva tarifa 6.1A;kvarh;8505
37;2020;3;1119;Centros mixtos;CDI Arganzuela;CALLE CANARIAS, 17 28045 MADRID;ARGANZUELA;2;PALOS DE LA FRONTERA;26;440987.11;4472682.14;-3.6954429745674;40.4026590845045;AMCDIARGANZUELA_Contador_Gas;Externo;Gas;Gas;m3;38.7
38;2020;3;631;Centros deportivos;CDM Aluche;AVENIDA DE LAS AGUILAS, 14 28044 MADRID;LATINA;10;AGUILAS;107;434499.85;4470564.28;-3.7716686725616;40.3830956005522;AMCDMALUCHECT_CT_General;Externo;Energía activa;Ninguno;kWh;20675
39;2020;3;631;Centros deportivos;CDM Aluche;AVENIDA DE LAS AGUILAS, 14 28044 MADRID;LATINA;10;AGUILAS;107;434499.85;4470564.28;-3.7716686725616;40.3830956005522;AMCDMALUCHECT_CT_General;Externo;Energía Reactiva;Reactiva tarifa 3.1A;kvarh;1949
40;2020;3;631;Centros deportivos;CDM Aluche;AVENIDA DE LAS AGUILAS, 14 28044 MADRID;LATINA;10;AGUILAS;107;434499.85;4470564.28;-3.7716686725616;40.3830956005522;AMCDMALUCHECT_Gas_Piscinas;Externo;Gas;Gas;m3;260.7
41;2020;3;1971;Centros deportivos;CDM Ángel Nieto - Puente de Vallecas;CALLE PAYASO FOFO, 7 28018 MADRID;PUENTE DE VALLECAS;13;PALOMERAS BAJAS;133;443987.26;4471411.87;-3.6594303931969576;40.39165542230783;AMCDMPVALLECASINV_Electricidad_General;Externo;Energía activa;Activa Interruptor Gral;kWh;33145
42;2020;3;1971;Centros deportivos;CDM Ángel Nieto - Puente de Vallecas;CALLE PAYASO FOFO, 7 28018 MADRID;PUENTE DE VALLECAS;13;PALOMERAS BAJAS;133;443987.26;4471411.87;-3.6594303931969576;40.39165542230783;AMCDMPVALLECASINV_Electricidad_General;Externo;Energía Reactiva;Reactiva tarifa 3.1A;kvarh;8590
43;2020;3;1971;Centros deportivos;CDM Ángel Nieto - Puente de Vallecas;CALLE PAYASO FOFO, 7 28018 MADRID;PUENTE DE VALLECAS;13;PALOMERAS BAJAS;133;443987.26;4471411.87;-3.6594303931969576;40.39165542230783;AMCDMPVALLECASINV_Gas_General;Externo;Gas;Gas;m3;9179
44;2020;3;1692;Centros deportivos;CDM Barajas;AVENIDA LOGROÑO, 70 28042 MADRID;BARAJAS;21;ALAMEDA DE OSUNA;211;450214.44;4479338.63;-3.5866347723157004;40.46294933734348;AMCDMBARAJAS_Electricidad_General;Externo;Energía activa;Activa Interruptor Gral;kWh;45869
45;2020;3;1692;Centros deportivos;CDM Barajas;AVENIDA LOGROÑO, 70 28042 MADRID;BARAJAS;21;ALAMEDA DE OSUNA;211;450214.44;4479338.63;-3.5866347723157004;40.46294933734348;AMCDMBARAJAS_Electricidad_General;Externo;Energía Reactiva;Reactiva tarifa 3.1A;kvarh;2764
46;2020;3;1692;Centros deportivos;CDM Barajas;AVENIDA LOGROÑO, 70 28042 MADRID;BARAJAS;21;ALAMEDA DE OSUNA;211;450214.44;4479338.63;-3.5866347723157004;40.46294933734348;AMCDMBARAJAS_Gas_General;Externo;Gas;Ninguno;m3;10900.2
47;2020;3;1918;Centros deportivos;CDM Cerro Almodóvar;CALLE CERRO DE ALMODOVAR, 9 28007 MADRID;VILLA DE VALLECAS;18;SANTA EUGENIA;182;448838.73;4470403.72;-3.6023182815488193;40.38281136695731;AMCDMCALMODOVARCT_Interruptor_General;Externo;Energía activa;Ninguno;kWh;35192
48;2020;3;1918;Centros deportivos;CDM Cerro Almodóvar;CALLE CERRO DE ALMODOVAR, 9 28007 MADRID;VILLA DE VALLECAS;18;SANTA EUGENIA;182;448838.73;4470403.72;-3.6023182815488193;40.38281136695731;AMCDMCALMODOVARCT_Interruptor_General;Externo;Energía Reactiva;Reactiva tarifa 3.1A;kvarh;4859
49;2020;3;1825;Centros deportivos;CDM Concepción;CALLE JOSE DEL HIERRO, 5 28027 MADRID;CIUDAD LINEAL;15;LA CONCEPCION;154;445003.74;4476491.39;-3.648873879700902;40.437198629630075;AMCDMCONCEPCION_CGBT_Interruptor_General;Externo;Energía activa;Activa Interruptor Gral;kWh;20775
50;2020;3;1825;Centros deportivos;CDM Concepción;CALLE JOSE DEL HIERRO, 5 28027 MADRID;CIUDAD LINEAL;15;LA CONCEPCION;154;445003.74;4476491.39;-3.648873879700902;40.437198629630075;AMCDMCONCEPCION_CGBT_Interruptor_General;Externo;Energía Reactiva;Reactiva tarifa 3.1A;kvarh;5530
51;2020;3;1825;Centros deportivos;CDM Concepción;CALLE JOSE DEL HIERRO, 5 28027 MADRID;CIUDAD LINEAL;15;LA CONCEPCION;154;445003.74;4476491.39;-3.648873879700902;40.437198629630075;AMCDMCONCEPCIONVEST_Gas_General;Externo;Gas;Ninguno;m3;8611
52;2020;3;1892;Centros deportivos;CDM Faustina Valladolid - Valdebernardo;CALLE LADERA DE LOS ALMENDROS, 2 28032 MADRID;VICALVARO;19;CASCO HISTORICO DE VICALVARO;191;447142.75;4472794.85;-3.6222312937684507;40.40438332871522;AMCDMVALDEBERNARDO_Electricidad_General;Externo;Energía activa;Ninguno;kWh;52582
53;2020;3;1892;Centros deportivos;CDM Faustina Valladolid - Valdebernardo;CALLE LADERA DE LOS ALMENDROS, 2 28032 MADRID;VICALVARO;19;CASCO HISTORICO DE VICALVARO;191;447142.75;4472794.85;-3.6222312937684507;40.40438332871522;AMCDMVALDEBERNARDO_Electricidad_General;Externo;Energía Reactiva;Reactiva tarifa 3.1A;kvarh;890
54;2020;3;1892;Centros deportivos;CDM Faustina Valladolid - Valdebernardo;CALLE LADERA DE LOS ALMENDROS, 2 28032 MADRID;VICALVARO;19;CASCO HISTORICO DE VICALVARO;191;447142.75;4472794.85;-3.6222312937684507;40.40438332871522;AMCDMVALDEBERNARDO_Gas_Piscina;Externo;Gas;Ninguno;m3;15209.3
55;2020;3;1140;Centros deportivos;CDM Gallur;CALLE GALLUR, 2 28047 MADRID;LATINA;10;LOS CARMENES;101;437486.41;4472283.7;-3.7366551160812;40.3988143311267;AMCDMGALLURPISCINA_CT2_Red - AMCDMGALLURFUTBOL_Red;Procesado;Energía activa;Activa Interruptor Gral;kWh;24989
56;2020;3;1140;Centros deportivos;CDM Gallur;CALLE GALLUR, 2 28047 MADRID;LATINA;10;LOS CARMENES;101;437486.41;4472283.7;-3.7366551160812;40.3988143311267;AMCDMGALLURPISCINA_Gas_Piscina;Externo;Gas;Gas;m3;0
57;2020;3;1140;Centros deportivos;CDM Gallur;CALLE GALLUR, 2 28047 MADRID;LATINA;10;LOS CARMENES;101;437486.41;4472283.7;-3.7366551160812;40.3988143311267;AMCDMGALLURPISTA_Gas_Pista;Externo;Gas;Gas;m3;0
58;2020;3;1929;Centros deportivos;CDM Hortaleza;CARRETERA ESTACION DE HORTALEZA, 11 28033 MADRID;HORTALEZA;16;APOSTOL SANTIAGO;165;444683.32;4481107.06;-3.6520428109526883;40.478883218418986;AMCDMHORTALEZACT_Interruptor_General;Externo;Energía activa;Activa Interruptor Gral;kWh;12927
59;2020;3;1929;Centros deportivos;CDM Hortaleza;CARRETERA ESTACION DE HORTALEZA, 11 28033 MADRID;HORTALEZA;16;APOSTOL SANTIAGO;165;444683.32;4481107.06;-3.6520428109526883;40.478883218418986;AMCDMHORTALEZACT_Interruptor_General;Externo;Energía Reactiva;Reactiva tarifa 3.1A;kvarh;891
60;2020;3;1929;Centros deportivos;CDM Hortaleza;CARRETERA ESTACION DE HORTALEZA, 11 28033 MADRID;HORTALEZA;16;APOSTOL SANTIAGO;165;444683.32;4481107.06;-3.6520428109526883;40.478883218418986;AMCDMHORTALEZACT_Gas_General;Externo;Gas;Ninguno;m3;6350
61;2020;3;1933;Centros deportivos;CDM La Elipa;CALLE ALCALDE GARRIDO JUARISTI, 17 28030 MADRID;MORATALAZ;14;MEDIA LEGUA;144;444343.25;4474045.26;-3.6548487612407725;40.414668189563315;AMCDMELIPAFUTBOL7_Gas_Futbol;Externo;Gas;Gas;m3;928.5
62;2020;3;1771;Centros deportivos;CDM La Masó;CALLE MASO, 80 (C/V VENTISQUERO DE LA CONDESA) 28034 MADRID;FUENCARRAL - EL PARDO;8;MIRASIERRA;87;439374.53;4481857.03;-3.7153208255768;40.4851944115249;AMCDMLAMASO_GeneralBT;Externo;Energía activa;Activa Interruptor Gral;kWh;77416
63;2020;3;1771;Centros deportivos;CDM La Masó;CALLE MASO, 80 (C/V VENTISQUERO DE LA CONDESA) 28034 MADRID;FUENCARRAL - EL PARDO;8;MIRASIERRA;87;439374.53;4481857.03;-3.7153208255768;40.4851944115249;AMCDMLAMASO_GeneralBT;Externo;Energía Reactiva;Reactiva tarifa 3.1A;kvarh;8738
64;2020;3;1771;Centros deportivos;CDM La Masó;CALLE MASO, 80 (C/V VENTISQUERO DE LA CONDESA) 28034 MADRID;FUENCARRAL - EL PARDO;8;MIRASIERRA;87;439374.53;4481857.03;-3.7153208255768;40.4851944115249;AMCDMLAMASO_Gas;Externo;Gas;Gas;m3;0
65;2020;3;1937;Centros deportivos;CDM Luis Aragonés;CALLE EL PROVENCIO, 20 28043 MADRID;HORTALEZA;16;CANILLAS;163;446721.93;4479594.57;-3.62783298581013;40.46547736811336;AMCDMLARAGONESVERANO_Interruptor_General;Externo;Energía activa;Activa Interruptor Gral;kWh;30565
66;2020;3;1937;Centros deportivos;CDM Luis Aragonés;CALLE EL PROVENCIO, 20 28043 MADRID;HORTALEZA;16;CANILLAS;163;446721.93;4479594.57;-3.62783298581013;40.46547736811336;AMCDMLARAGONESVERANO_Interruptor_General;Externo;Energía Reactiva;Reactiva tarifa 3.1A;kvarh;2574
67;2020;3;1937;Centros deportivos;CDM Luis Aragonés;CALLE EL PROVENCIO, 20 28043 MADRID;HORTALEZA;16;CANILLAS;163;446721.93;4479594.57;-3.62783298581013;40.46547736811336;AMCDMLARAGONESVERANO_Gas_General;Externo;Gas;Ninguno;m3;13226.4
68;2020;3;844;Centros deportivos;CDM Orcasitas;AVENIDA RAFAELA YBARRA, 52 28026 MADRID;USERA;12;ZOFIO;126;439493.02;4469717.28;-3.7127673625946;40.3758429603234;AMCDMORCASITASVERANO_GeneralBT_Verano;Externo;Energía activa;Activa Interruptor Gral;kWh;635
69;2020;3;844;Centros deportivos;CDM Orcasitas;AVENIDA RAFAELA YBARRA, 52 28026 MADRID;USERA;12;ZOFIO;126;439493.02;4469717.28;-3.7127673625946;40.3758429603234;AMCDMORCASITASOFICINAS_GeneralBT_Oficinas;Externo;Energía activa;Activa Interruptor Gral;kWh;3933
70;2020;3;844;Centros deportivos;CDM Orcasitas;AVENIDA RAFAELA YBARRA, 52 28026 MADRID;USERA;12;ZOFIO;126;439493.02;4469717.28;-3.7127673625946;40.3758429603234;AMCDMORCASITASVERANO_GeneralBT_Verano;Externo;Energía Reactiva;Reactiva tarifa 3.1A;kvarh;0
71;2020;3;844;Centros deportivos;CDM Orcasitas;AVENIDA RAFAELA YBARRA, 52 28026 MADRID;USERA;12;ZOFIO;126;439493.02;4469717.28;-3.7127673625946;40.3758429603234;AMCDMORCASITASOFICINAS_GeneralBT_Oficinas;Externo;Energía Reactiva;Reactiva tarifa 3.1A;kvarh;1542
72;2020;3;1114;Centros deportivos;CDM Plata y Castañar;PASEO PLATA Y CASTAÑAR, 7 28021 MADRID;VILLAVERDE;17;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;171;439027.11;4466911.16;-3.7170958691991935;40.35076438371904;AMCDMPLATYCAST_CT_General;Externo;Energía activa;Activa Interruptor Gral;kWh;51373
73;2020;3;1114;Centros deportivos;CDM Plata y Castañar;PASEO PLATA Y CASTAÑAR, 7 28021 MADRID;VILLAVERDE;17;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;171;439027.11;4466911.16;-3.7170958691991935;40.35076438371904;AMCDMPLATYCAST_CT_General;Externo;Energía Reactiva;Reactiva tarifa 3.1A;kvarh;1321
74;2020;3;1114;Centros deportivos;CDM Plata y Castañar;PASEO PLATA Y CASTAÑAR, 7 28021 MADRID;VILLAVERDE;17;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;171;439027.11;4466911.16;-3.7170958691991935;40.35076438371904;AMCDMPLATYCAST_Gas_Piscina;Externo;Gas;Gas;m3;12142
75;2020;3;1941;Centros deportivos;CDM Playa Victoria;CALLE HIERBABUENA, 2 28039 MADRID;TETUAN;6;BERRUGUETE;66;440472.29;4478976.84;-3.7016309815462454;40.459185470607935;AMCDMPVICTORIA_Interruptor_General;Externo;Energía activa;Activa Interruptor Gral;kWh;16068
76;2020;3;1941;Centros deportivos;CDM Playa Victoria;CALLE HIERBABUENA, 2 28039 MADRID;TETUAN;6;BERRUGUETE;66;440472.29;4478976.84;-3.7016309815462454;40.459185470607935;AMCDMPVICTORIA_Interruptor_General;Externo;Energía Reactiva;Reactiva tarifa 3.0A;kvarh;1552
77;2020;3;1941;Centros deportivos;CDM Playa Victoria;CALLE HIERBABUENA, 2 28039 MADRID;TETUAN;6;BERRUGUETE;66;440472.29;4478976.84;-3.7016309815462454;40.459185470607935;AMCDMPVICTORIA_Gas_General;Externo;Gas;Ninguno;m3;4916
78;2020;3;1889;Centros deportivos;CDM Pueblo Nuevo;CALLE FRANCISCO RIOJA, 14 28017 MADRID;CIUDAD LINEAL;15;PUEBLO NUEVO;152;445839.4;4475685.17;-3.6380132760089876;40.43014181400333;AMCDMPUEBLONUEVO_Interruptor_General;Externo;Energía activa;Activa Interruptor Gral;kWh;15188
79;2020;3;1889;Centros deportivos;CDM Pueblo Nuevo;CALLE FRANCISCO RIOJA, 14 28017 MADRID;CIUDAD LINEAL;15;PUEBLO NUEVO;152;445839.4;4475685.17;-3.6380132760089876;40.43014181400333;AMCDMPUEBLONUEVO_Interruptor_General;Externo;Energía Reactiva;Reactiva tarifa 3.0A;kvarh;6604
80;2020;3;1889;Centros deportivos;CDM Pueblo Nuevo;CALLE FRANCISCO RIOJA, 14 28017 MADRID;CIUDAD LINEAL;15;PUEBLO NUEVO;152;445839.4;4475685.17;-3.6380132760089876;40.43014181400333;AMCDMPUEBLONUEVO_Gas_general;Externo;Gas;Ninguno;m3;3660
81;2020;3;1541;Centros deportivos;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;2;IMPERIAL;21;439121.92;4473233.91;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_General_BT;Externo;Energía activa; ;kWh;53511
82;2020;3;1541;Centros deportivos;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;2;IMPERIAL;21;439121.92;4473233.91;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Gas;Externo;Gas;Gas;m3;14511
